arrival_ts,actual,arima_forecast,arima_error
2025-03-14,158.2,181.27208603633952,-23.072086036339527
2025-03-15,182.65,179.24855937544652,3.401440624553487
2025-03-16,204.4,185.26779946336217,19.13220053663784
2025-03-17,173.7,189.27539952094432,-15.57539952094433
2025-03-18,157.2,181.23466343988702,-24.034663439887026
2025-03-19,169.0,181.72103162217755,-12.721031622177549
2025-03-20,148.5,176.92885728984237,-28.42885728984237
2025-03-21,168.5,170.49034484211697,-1.9903448421169685
2025-03-22,247.15,185.49216370070377,61.657836299296235
2025-03-23,211.85,202.10737391315405,9.742626086845945
2025-03-24,188.10000000000002,179.7157174823401,8.384282517659926
2025-03-25,195.35000000000002,176.87210539177158,18.47789460822844
2025-03-26,198.95,172.34557017837523,26.604429821624763
2025-03-27,183.5,170.39777021855718,13.102229781442816
2025-03-28,174.2,188.3663625641357,-14.16636256413571
2025-03-29,199.14999999999998,193.08520876895022,6.064791231049753
2025-03-30,182.05,197.43621674598964,-15.386216745989628
2025-03-31,177.5,190.61297212907238,-13.112972129072375
2025-04-01,167.2,192.8903501504015,-25.690350150401514
2025-04-02,161.4,186.87149246191146,-25.471492461911453
2025-04-03,167.5,180.48366598522585,-12.983665985225855
2025-04-04,160.1,186.2735537974446,-26.17355379744461
2025-04-05,219.60000000000002,181.64637529321396,37.95362470678606
2025-04-06,188.85,196.5018609304521,-7.651860930452102
2025-04-07,183.5,178.8923644554897,4.607635544510288
2025-04-08,182.05,176.46516688227777,5.584833117722241
2025-04-09,190.9,174.11876592062538,16.781234079374627
2025-04-10,182.1,171.5921339585452,10.507866041454804
2025-04-11,168.25,182.9472451729809,-14.6972451729809
2025-04-12,193.4,181.40767388369326,11.992326116306742
2025-04-13,206.0,188.63829259371775,17.36170740628225
2025-04-14,175.10000000000002,188.79078705929265,-13.690787059292632
2025-04-15,165.2,182.05005265008413,-16.850052650084137
2025-04-16,176.8,181.30733890110128,-4.507338901101264
2025-04-17,179.0,179.24193327806864,-0.24193327806864318
2025-04-18,163.35000000000002,181.98937248154152,-18.6393724815415
2025-04-19,192.10000000000002,184.64605606289476,7.453943937105265
2025-04-20,194.35,190.03363387208378,4.316366127916211
2025-04-21,153.55,182.24515638309046,-28.69515638309045
2025-04-22,160.65,170.84063488833183,-10.190634888331829
2025-04-23,187.1,176.53446001112903,10.565539988870967
2025-04-24,154.89999999999998,177.27859858195941,-22.378598581959437
2025-04-25,156.55,171.38491439631647,-14.834914396316464
2025-04-26,191.4,180.21947448602657,11.180525513973436
2025-04-27,184.75,180.57570927245214,4.174290727547856
2025-04-28,165.1,171.69744721776462,-6.597447217764625
2025-04-29,168.8,173.15951558879567,-4.359515588795659
2025-04-30,175.60000000000002,169.95196561724507,5.6480343827549575
2025-05-01,173.95,166.6259469664923,7.324053033507681
2025-05-02,144.0,172.89791975741815,-28.89791975741815
2025-05-03,168.7,168.55757605995598,0.1424239400440115
2025-05-04,163.0,174.41248518928964,-11.41248518928964
2025-05-05,173.3,168.8250585788451,4.4749414211549094
