created_at,actual,naive_forecast,naive_error,historical_mean_forecast,historical_mean_error,moving_average_forecast,moving_average_error,ses_forecast,ses_error
2025-03-14,24.91,26.49,-1.5799999999999983,30.01425941780822,-5.104259417808219,30.591428571428573,-5.681428571428572,30.014259241252738,-5.104259241252738
2025-03-15,31.09,24.91,6.18,30.009893071000857,1.0801069289991432,29.82857142857143,1.2614285714285707,30.014259165193348,1.075740834806652
2025-03-16,36.36,31.09,5.27,30.010816239316238,6.349183760683761,30.778571428571432,5.581428571428567,30.014259181223135,6.345740818776864
2025-03-17,31.38,36.36,-4.98,30.016238257899232,1.3637617421007668,31.65285714285714,-0.27285714285714135,30.01425927578204,1.3657407242179573
2025-03-18,30.200000000000003,31.38,-1.1799999999999962,30.017401877133103,0.18259812286689936,32.62,-2.4199999999999946,30.014259296133165,0.18574070386683772
2025-03-19,39.825,30.200000000000003,9.625,30.017557544757036,9.807442455242967,31.761428571428574,8.063571428571429,30.014259298900917,9.810740701099085
2025-03-20,34.72,39.825,-5.105000000000004,30.025911413969332,4.6940885860306665,31.465,3.254999999999999,30.014259445092346,4.705740554907653
2025-03-21,37.34,34.72,2.6200000000000045,30.029906382978723,7.3100936170212805,32.64071428571428,4.699285714285722,30.014259515213347,7.325740484786657
2025-03-22,22.57,37.34,-14.770000000000003,30.036122448979594,-7.466122448979593,34.41642857142857,-11.846428571428568,30.014259624375384,-7.444259624375384
2025-03-23,27.35,22.57,4.780000000000001,30.02977909940527,-2.6797790994052697,33.199285714285715,-5.849285714285713,30.01425951344727,-2.66425951344727
2025-03-24,31.63,27.35,4.279999999999998,30.027504244482174,1.6024957555178254,31.912142857142857,-0.28214285714285836,30.01425947374671,1.6157405262532905
2025-03-25,28.14,31.63,-3.4899999999999984,30.02886344359627,-1.888863443596268,31.947857142857146,-3.807857142857145,30.01425949782312,-1.8742594978231182
2025-03-26,34.54,28.14,6.399999999999999,30.027262711864406,4.512737288135593,31.65357142857143,2.8864285714285707,30.014259469894476,4.525740530105523
2025-03-27,35.2,34.54,0.6600000000000037,30.03108382726503,5.168916172734974,30.898571428571433,4.30142857142857,30.014259537333263,5.18574046266674
2025-03-28,28.74,35.2,-6.460000000000004,30.03545685279188,-1.295456852791883,30.967142857142857,-2.2271428571428586,30.014259614606818,-1.2742596146068195
2025-03-29,26.36,28.74,-2.379999999999999,30.0343617920541,-3.6743617920541,29.73857142857143,-3.37857142857143,30.01425959561887,-3.6542595956188713
2025-03-30,28.825000000000003,26.36,2.4650000000000034,30.031258445945948,-1.2062584459459451,30.28,-1.4549999999999983,30.014259541166158,-1.1892595411661553
2025-03-31,24.545,28.825000000000003,-4.280000000000001,30.030240506329115,-5.485240506329113,30.49071428571429,-5.945714285714288,30.01425952344481,-5.4692595234448085
2025-04-01,31.43,24.545,6.884999999999998,30.025615514333893,1.4043844856661067,29.478571428571428,1.951428571428572,30.014259441946493,1.415740558053507
2025-04-02,27.145000000000003,31.43,-4.284999999999997,30.026798652064024,-2.8817986520640204,29.94857142857143,-2.803571428571427,30.014259463042674,-2.8692594630426704
